Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Parent ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
ECM_Exp2_M25_30D_Scene6.tif	CNU	Left: CNU	Image	Geometry	9877	4133.2	623	567	0	1443	99	1344	93.14	728.48	1844933.8	9580.7
ECM_Exp2_M25_30D_Scene6.tif	CTX	Left: CTX	Image	Geometry	9884.4	2475.4	688	567	0	13874	1070	12804	92.29	949.89	13479436.3	33307.9
ECM_Exp2_M25_30D_Scene6.tif	IB	Left: IB	Image	Geometry	8071.4	3719.6	1129	343	0	9960	1193	8767	88.02	1182.8	7412085.1	19421.8
ECM_Exp2_M25_30D_Scene6.tif	MB	Left: MB	Image	Polygon	6994.3	2575.2	313	343	0	0	0	0	NaN	0	1003.8	152.78
ECM_Exp2_M25_30D_Scene6.tif	fiber tracts	Left: fiber tracts	Image	Geometry	9214.4	2776.2	1009	997	0	4644	538	4106	88.42	1229.8	3338619.1	37175.1
ECM_Exp2_M25_30D_Scene6.tif	fiber tracts	Right: fiber tracts	Image	Geometry	4519.7	3032.7	1009	997	0	3322	479	2843	85.58	817.32	3478452.7	37676.1
ECM_Exp2_M25_30D_Scene6.tif	CNU	Right: CNU	Image	Geometry	3968.9	4428.4	623	567	0	1600	162	1438	89.88	755.54	1903286.7	9751
ECM_Exp2_M25_30D_Scene6.tif	CTX	Right: CTX	Image	Geometry	3832.4	2746.1	688	567	0	19789	1365	18424	93.1	1353	13616745.1	33626.3
ECM_Exp2_M25_30D_Scene6.tif	IB	Right: IB	Image	Geometry	5788.8	3842.7	1129	343	0	10373	1565	8808	84.91	1147.7	7674212.9	19671.1
ECM_Exp2_M25_30D_Scene6.tif	MB	Right: MB	Image	Polygon	6778.9	2584.9	313	343	0	1	1	0	0	0	1008.3	153.02
