Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Parent ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
ECM_Exp2_M11_5D_Scene6.tif	CNU	Left: CNU	Image	Geometry	8818.9	5043.6	623	567	0	1	0	1	100	44.13	22660.9	1344.4
ECM_Exp2_M11_5D_Scene6.tif	CTX	Left: CTX	Image	Geometry	8012.7	4075.5	688	567	0	4191	1265	2926	69.82	214.53	13639043.5	35604.9
ECM_Exp2_M11_5D_Scene6.tif	IB	Left: IB	Image	Geometry	6364.8	5216.6	1129	343	0	576	340	236	40.97	48.23	4893638.2	19618.3
ECM_Exp2_M11_5D_Scene6.tif	MB	Left: MB	Image	Geometry	5827.7	4673.8	313	343	0	294	115	179	60.88	90.16	1985253.3	14493.9
ECM_Exp2_M11_5D_Scene6.tif	CNU	Right: CNU	Image	Geometry	1435.1	5399.9	623	567	0	0	0	0	NaN	0	25842.6	1445.7
ECM_Exp2_M11_5D_Scene6.tif	CTX	Right: CTX	Image	Geometry	2130.1	4374.4	688	567	0	803	529	274	34.12	19.81	13833189.3	36493.5
ECM_Exp2_M11_5D_Scene6.tif	IB	Right: IB	Image	Geometry	3811.6	5309.2	1129	343	0	121	80	41	33.88	8.019	5112927.2	19702.9
ECM_Exp2_M11_5D_Scene6.tif	MB	Right: MB	Image	Geometry	4354.2	4740.7	313	343	0	94	46	48	51.06	23.73	2022820.3	14521.1
ECM_Exp2_M11_5D_Scene6.tif	fiber tracts	Left: fiber tracts	Image	Geometry	7245.2	4121.8	1009	997	0	344	169	175	50.87	60.45	2894793	41375.9
ECM_Exp2_M11_5D_Scene6.tif	fiber tracts	Right: fiber tracts	Image	Geometry	2865	4361.2	1009	997	0	172	88	84	48.84	28.13	2986505	42653.7
