Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Parent ID	Side	Num Detections	Num Necrosis	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
ECM_Exp2_M42_0D_Scene5.tif	CNU	Right: CNU	Image	Geometry	4216.6	6653.1	623	567	0	2110	139	1971	100	911.97	2161245.3	11432.5
ECM_Exp2_M42_0D_Scene5.tif	CTX	Right: CTX	Image	Geometry	4156.1	4874	688	567	0	8405	561	7844	100	608.67	12887073.8	32322.7
ECM_Exp2_M42_0D_Scene5.tif	IB	Right: IB	Image	Geometry	5906.9	6319.9	1129	343	0	5833	204	5629	100	750.81	7497259.1	20222.5
ECM_Exp2_M42_0D_Scene5.tif	MB	Right: MB	Image	Geometry	6818.7	5008.3	313	343	0	3	0	3	100	632.96	4739.6	397.89
ECM_Exp2_M42_0D_Scene5.tif	CNU	Left: CNU	Image	Geometry	9604.6	7208.8	623	567	0	239	17	222	100	229.64	966724.3	9712.5
ECM_Exp2_M42_0D_Scene5.tif	CTX	Left: CTX	Image	Geometry	9752.8	5394.6	688	567	0	4777	232	4545	100	309.34	14692730.6	37833.3
ECM_Exp2_M42_0D_Scene5.tif	IB	Left: IB	Image	Geometry	7987.6	6382.8	1129	343	0	4928	130	4798	100	597.85	8025463.7	21806.2
ECM_Exp2_M42_0D_Scene5.tif	MB	Left: MB	Image	Geometry	7471.8	4989.8	313	343	0	90	1	89	100	655.27	135821.9	3759.6
ECM_Exp2_M42_0D_Scene5.tif	fiber tracts	Left: fiber tracts	Image	Geometry	9082.4	5605.9	1009	997	0	2260	98	2162	100	621.63	3477948.9	40550.2
ECM_Exp2_M42_0D_Scene5.tif	fiber tracts	Right: fiber tracts	Image	Geometry	4797.5	5297.2	1009	997	0	2465	85	2380	100	724.09	3286874	37154
