Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Parent ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
ECM_Exp2_M10_30D_Scene6.tif	CNU	Right: CNU	Image	Geometry	1494.6	5043.6	623	567	0	1	1	0	0	0	23343.5	1386.8
ECM_Exp2_M10_30D_Scene6.tif	CTX	Right: CTX	Image	Geometry	2122.6	4118.7	688	567	0	2092	1168	924	44.17	70.36	13132042.5	35714.1
ECM_Exp2_M10_30D_Scene6.tif	IB	Right: IB	Image	Geometry	3902.5	4850.6	1129	343	0	413	230	183	44.31	38.82	4714195.4	18998.4
ECM_Exp2_M10_30D_Scene6.tif	MB	Right: MB	Image	Geometry	4425.1	4377.2	313	343	0	168	93	75	44.64	40.51	1851331.6	13947.5
ECM_Exp2_M10_30D_Scene6.tif	CNU	Left: CNU	Image	Geometry	8884	4529.1	623	567	0	44	2	42	95.45	2356.1	17826.1	1188.3
ECM_Exp2_M10_30D_Scene6.tif	CTX	Left: CTX	Image	Geometry	8056.8	3598.7	688	567	0	3786	635	3151	83.23	253.85	12412881.1	34013.2
ECM_Exp2_M10_30D_Scene6.tif	IB	Left: IB	Image	Geometry	6523.6	4766.5	1129	343	0	1857	423	1434	77.22	336.89	4256604.9	18421.7
ECM_Exp2_M10_30D_Scene6.tif	MB	Left: MB	Image	Geometry	5936.4	4248.4	313	343	0	781	270	511	65.43	283.97	1799514.7	13577.5
ECM_Exp2_M10_30D_Scene6.tif	fiber tracts	Left: fiber tracts	Image	Geometry	7322.4	3665.8	1009	997	0	1280	229	1051	82.11	416.38	2524130.1	39396.2
ECM_Exp2_M10_30D_Scene6.tif	fiber tracts	Right: fiber tracts	Image	Geometry	2885.8	4036.5	1009	997	0	331	161	170	51.36	60.01	2832720.5	41725.8
