Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Parent ID	Side	Num Detections	Num Necrosis	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
ECM_Exp2_M25_30D_Scene6.tif	CNU	Right: CNU	Image	Geometry	3968.9	4428.4	623	567	0	2054	1616	438	100	230.13	1903286.7	9751
ECM_Exp2_M25_30D_Scene6.tif	CTX	Right: CTX	Image	Geometry	3832.4	2746.1	688	567	0	17702	15236	2466	100	181.1	13616745.1	33626.3
ECM_Exp2_M25_30D_Scene6.tif	IB	Right: IB	Image	Geometry	5788.8	3842.7	1129	343	0	7496	5685	1811	100	235.99	7674212.9	19671.1
ECM_Exp2_M25_30D_Scene6.tif	MB	Right: MB	Image	Polygon	6778.9	2584.9	313	343	0	0	0	0	NaN	0	1008.3	153.02
ECM_Exp2_M25_30D_Scene6.tif	CNU	Left: CNU	Image	Geometry	9877	4133.2	623	567	0	987	927	60	100	32.52	1844933.8	9580.7
ECM_Exp2_M25_30D_Scene6.tif	CTX	Left: CTX	Image	Geometry	9884.4	2475.4	688	567	0	8892	7760	1132	100	83.98	13479436.3	33307.9
ECM_Exp2_M25_30D_Scene6.tif	IB	Left: IB	Image	Geometry	8071.4	3719.6	1129	343	0	7266	5520	1746	100	235.56	7412085.1	19421.8
ECM_Exp2_M25_30D_Scene6.tif	MB	Left: MB	Image	Polygon	6994.3	2575.2	313	343	0	0	0	0	NaN	0	1003.8	152.78
ECM_Exp2_M25_30D_Scene6.tif	fiber tracts	Left: fiber tracts	Image	Geometry	9214.4	2776.2	1009	997	0	2031	1830	201	100	60.2	3338619.1	37175.1
ECM_Exp2_M25_30D_Scene6.tif	fiber tracts	Right: fiber tracts	Image	Geometry	4519.7	3032.7	1009	997	0	1478	1323	155	100	44.56	3478452.7	37676.1
