Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Parent ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
ECM_Exp2_M21_30D_Scene6.tif	CNU	Right: CNU	Image	Geometry	4121.7	6227.7	623	567	0	152	56	96	63.16	114.61	837650.1	8329.3
ECM_Exp2_M21_30D_Scene6.tif	CTX	Right: CTX	Image	Geometry	4301.2	4942.4	688	567	0	3182	1497	1685	52.95	109.93	15327858.2	38014.2
ECM_Exp2_M21_30D_Scene6.tif	IB	Right: IB	Image	Geometry	6231.1	5928.3	1129	343	0	867	520	347	40.02	49.54	7005142.7	22034.9
ECM_Exp2_M21_30D_Scene6.tif	MB	Right: MB	Image	Geometry	6812.2	5113	313	343	0	63	30	33	52.38	36.81	896548.2	6611.1
ECM_Exp2_M21_30D_Scene6.tif	CNU	Left: CNU	Image	Geometry	10892.9	5812	623	567	0	212	102	110	51.89	147.1	747791.3	7904.4
ECM_Exp2_M21_30D_Scene6.tif	CTX	Left: CTX	Image	Geometry	10579	4590	688	567	0	4247	1381	2866	67.48	196.23	14604943.1	36801.1
ECM_Exp2_M21_30D_Scene6.tif	IB	Left: IB	Image	Geometry	8776	5808.9	1129	343	0	1457	725	732	50.24	107.49	6810004.9	21832.9
ECM_Exp2_M21_30D_Scene6.tif	MB	Left: MB	Image	Geometry	8151.1	5031.6	313	343	0	113	75	38	33.63	41.71	911069.7	6681.6
ECM_Exp2_M21_30D_Scene6.tif	fiber tracts	Left: fiber tracts	Image	Geometry	9756.3	4747.6	1009	997	0	1320	494	826	62.58	249.81	3306532.8	39391.8
ECM_Exp2_M21_30D_Scene6.tif	fiber tracts	Right: fiber tracts	Image	Geometry	5163.8	5036.3	1009	997	0	542	251	291	53.69	82.67	3520176.5	40785.4
