Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Parent ID	Side	Num Detections	Num Necrosis	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
ECM_Exp2_M35_30D_Scene6.tif	CNU	Left: CNU	Image	Geometry	7821.3	3717.2	623	567	0	569	85	484	100	430.43	1124457.4	8420.2
ECM_Exp2_M35_30D_Scene6.tif	CTX	Left: CTX	Image	Geometry	7981.3	2422.1	688	567	0	9799	2156	7643	100	647.99	11794923.7	31745.3
ECM_Exp2_M35_30D_Scene6.tif	IB	Left: IB	Image	Geometry	6220.1	3498.8	1129	343	0	4721	287	4434	100	813.57	5450057.6	18380.2
ECM_Exp2_M35_30D_Scene6.tif	MB	Left: MB	Image	Geometry	5764.9	2576.1	313	343	0	284	26	258	100	1280.8	201436.5	4022.8
ECM_Exp2_M35_30D_Scene6.tif	fiber tracts	Left: fiber tracts	Image	Geometry	7242.2	2573.4	1009	997	0	2113	145	1968	100	739.42	2661532.4	32368.6
ECM_Exp2_M35_30D_Scene6.tif	fiber tracts	Right: fiber tracts	Image	Geometry	3153.1	2791.6	1009	997	0	1294	41	1253	100	445.16	2814721.2	34003.5
ECM_Exp2_M35_30D_Scene6.tif	CNU	Right: CNU	Image	Geometry	2547.3	4115.8	623	567	0	1456	36	1420	100	1167.3	1216532.2	8417.7
ECM_Exp2_M35_30D_Scene6.tif	CTX	Right: CTX	Image	Geometry	2458.9	2654.7	688	567	0	11053	204	10849	100	884.39	12267193.9	33168.7
ECM_Exp2_M35_30D_Scene6.tif	IB	Right: IB	Image	Geometry	4121.2	3559.7	1129	343	0	4947	64	4883	100	821.53	5943782.9	18727.4
ECM_Exp2_M35_30D_Scene6.tif	MB	Right: MB	Image	Geometry	4698.5	2594.2	313	343	0	256	0	256	100	1202.5	212881.4	4108.6
