Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Parent ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
ECM_Exp2_M09_15D_Scene6.tif	CNU	Left: CNU	Image	Geometry	9113.3	4281.5	623	567	0	523	41	482	92.16	367.54	1311434.3	8790.6
ECM_Exp2_M09_15D_Scene6.tif	CTX	Left: CTX	Image	Geometry	9097.1	3041.7	688	567	0	3469	336	3133	90.31	250.54	12504772.7	33180.1
ECM_Exp2_M09_15D_Scene6.tif	IB	Left: IB	Image	Geometry	7359.1	4095.6	1129	343	0	2076	447	1629	78.47	258.19	6309351.5	19434.4
ECM_Exp2_M09_15D_Scene6.tif	MB	Left: MB	Image	Geometry	6701.6	3149.4	313	343	0	29	15	14	48.28	66.96	209079.6	4127.6
ECM_Exp2_M09_15D_Scene6.tif	CNU	Right: CNU	Image	Geometry	3484.2	4819.6	623	567	0	151	61	90	59.6	65.53	1373440.7	8808
ECM_Exp2_M09_15D_Scene6.tif	CTX	Right: CTX	Image	Geometry	3258	3525.7	688	567	0	1557	562	995	63.9	75.67	13149281.7	33530.2
ECM_Exp2_M09_15D_Scene6.tif	IB	Right: IB	Image	Geometry	5187.6	4295.3	1129	343	0	341	168	173	50.73	27.02	6402835.4	19416.4
ECM_Exp2_M09_15D_Scene6.tif	MB	Right: MB	Image	Geometry	5656.8	3239.1	313	343	0	15	5	10	66.67	48.02	208261.4	4155.8
ECM_Exp2_M09_15D_Scene6.tif	fiber tracts	Left: fiber tracts	Image	Geometry	8360.3	3214.9	1009	997	0	1538	188	1350	87.78	477.59	2826669.8	33920.9
ECM_Exp2_M09_15D_Scene6.tif	fiber tracts	Right: fiber tracts	Image	Geometry	4033.9	3568.3	1009	997	0	270	59	211	78.15	71.72	2942036.3	34290.4
