Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Parent ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
ECM_Exp2_M20_30D_Scene6.tif	CNU	Left: CNU	Image	Geometry	8442.6	4045.9	623	567	0	83	65	18	21.69	13.52	1331131.2	8843.6
ECM_Exp2_M20_30D_Scene6.tif	CTX	Left: CTX	Image	Geometry	8455.7	2618.9	688	567	0	1886	1067	819	43.43	62.16	13176366	33956.4
ECM_Exp2_M20_30D_Scene6.tif	IB	Left: IB	Image	Geometry	6636	3759.5	1129	343	0	358	253	105	29.33	15.37	6832411.6	20513.9
ECM_Exp2_M20_30D_Scene6.tif	MB	Left: MB	Image	Geometry	6053.3	2746.4	313	343	0	17	10	7	41.18	26.28	266359.8	4701.2
ECM_Exp2_M20_30D_Scene6.tif	CNU	Right: CNU	Image	Geometry	2493.8	4322.9	623	567	0	102	59	43	42.16	29.75	1445396.2	9261.8
ECM_Exp2_M20_30D_Scene6.tif	CTX	Right: CTX	Image	Geometry	2446.8	2845.2	688	567	0	1306	841	465	35.6	33.3	13965262.9	35413.2
ECM_Exp2_M20_30D_Scene6.tif	IB	Right: IB	Image	Geometry	4324.3	3825.2	1129	343	0	288	207	81	28.12	11.01	7355808.5	20994.8
ECM_Exp2_M20_30D_Scene6.tif	MB	Right: MB	Image	Geometry	4921	2775.4	313	343	0	3	3	0	0	0	282057.2	4852.7
ECM_Exp2_M20_30D_Scene6.tif	fiber tracts	Left: fiber tracts	Image	Geometry	7705.1	2834.3	1009	997	0	251	155	96	38.25	31.25	3072225.9	35325.5
ECM_Exp2_M20_30D_Scene6.tif	fiber tracts	Right: fiber tracts	Image	Geometry	3194.1	3022.3	1009	997	0	192	117	75	39.06	22.57	3322369.6	37100.2
