Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Parent ID	Side	Num Detections	Area µm^2	Perimeter µm
ECM_Exp2_M20_30D_Scene6.tif	CNU	Right: CNU	Image	Geometry	2493.8	4322.9	623	567	0	416	1445396.2	9261.8
ECM_Exp2_M20_30D_Scene6.tif	CTX	Right: CTX	Image	Geometry	2446.8	2845.2	688	567	0	3049	13965262.9	35413.2
ECM_Exp2_M20_30D_Scene6.tif	IB	Right: IB	Image	Geometry	4324.3	3825.2	1129	343	0	794	7355808.5	20994.8
ECM_Exp2_M20_30D_Scene6.tif	MB	Right: MB	Image	Geometry	4921	2775.4	313	343	0	47	282057.2	4852.7
ECM_Exp2_M20_30D_Scene6.tif	fiber tracts	Left: fiber tracts	Image	Geometry	7705.1	2834.3	1009	997	0	1391	3072225.9	35325.5
ECM_Exp2_M20_30D_Scene6.tif	fiber tracts	Right: fiber tracts	Image	Geometry	3194.1	3022.3	1009	997	0	913	3322369.6	37100.2
ECM_Exp2_M20_30D_Scene6.tif	CNU	Left: CNU	Image	Geometry	8442.6	4045.9	623	567	0	509	1331131.2	8843.6
ECM_Exp2_M20_30D_Scene6.tif	CTX	Left: CTX	Image	Geometry	8455.7	2618.9	688	567	0	6740	13176366	33956.4
ECM_Exp2_M20_30D_Scene6.tif	IB	Left: IB	Image	Geometry	6636	3759.5	1129	343	0	1496	6832411.6	20513.9
ECM_Exp2_M20_30D_Scene6.tif	MB	Left: MB	Image	Geometry	6053.3	2746.4	313	343	0	51	266359.8	4701.2
