Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Parent ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
ECM_Exp2_M39_0D_Scene6.tif	CNU	Right: CNU	Image	Geometry	3902.9	6408.2	623	567	0	140	57	83	59.29	57.38	1446607.1	9308.8
ECM_Exp2_M39_0D_Scene6.tif	CTX	Right: CTX	Image	Geometry	3797.9	4870.6	688	567	0	1305	786	519	39.77	40.43	12836884.6	33906.3
ECM_Exp2_M39_0D_Scene6.tif	IB	Right: IB	Image	Geometry	5554.1	5813.6	1129	343	0	279	167	112	40.14	16.06	6972124.2	19925.9
ECM_Exp2_M39_0D_Scene6.tif	MB	Right: MB	Image	Geometry	6118.3	4702	313	343	0	32	12	20	62.5	102.07	195936	4127.3
ECM_Exp2_M39_0D_Scene6.tif	CNU	Left: CNU	Image	Geometry	9536.7	6014.2	623	567	0	88	37	51	57.95	35.89	1420839.6	8880.9
ECM_Exp2_M39_0D_Scene6.tif	CTX	Left: CTX	Image	Geometry	9513.7	4601.9	688	567	0	1103	658	445	40.34	35.98	12367670.6	33287.2
ECM_Exp2_M39_0D_Scene6.tif	IB	Left: IB	Image	Geometry	7769.7	5663	1129	343	0	241	134	107	44.4	15.78	6781962.1	19803.1
ECM_Exp2_M39_0D_Scene6.tif	MB	Left: MB	Image	Geometry	7190.6	4618	313	343	0	8	1	7	87.5	36.23	193224.5	4121.4
ECM_Exp2_M39_0D_Scene6.tif	fiber tracts	Left: fiber tracts	Image	Geometry	8802	4804.4	1009	997	0	186	85	101	54.3	33.92	2977686.9	35180
ECM_Exp2_M39_0D_Scene6.tif	fiber tracts	Right: fiber tracts	Image	Geometry	4507	5071.6	1009	997	0	123	61	62	50.41	20.04	3093719.8	36165.9
