Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Parent ID	Side	Num Detections	Num Necrosis	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
ECM_Exp2_M34_15D_Scene6.tif	CNU	Left: CNU	Image	Geometry	9012.8	4036.3	623	567	0	303	152	151	100	118.5	1274279.7	8505
ECM_Exp2_M34_15D_Scene6.tif	CTX	Left: CTX	Image	Geometry	8925.2	2749.9	688	567	0	8172	3846	4326	100	366.53	11802646.5	32108.8
ECM_Exp2_M34_15D_Scene6.tif	IB	Left: IB	Image	Geometry	7250.9	3815	1129	343	0	5389	305	5084	100	818.87	6208561.2	19124.3
ECM_Exp2_M34_15D_Scene6.tif	MB	Left: MB	Image	Geometry	6642.2	2771.4	313	343	0	201	39	162	100	857.15	188998	3991.2
ECM_Exp2_M34_15D_Scene6.tif	CNU	Right: CNU	Image	Geometry	3458	4284.2	623	567	0	946	105	841	100	606.82	1385905.4	8971
ECM_Exp2_M34_15D_Scene6.tif	CTX	Right: CTX	Image	Geometry	3315.5	2871.4	688	567	0	15504	704	14800	100	1171.8	12630489.7	33000.9
ECM_Exp2_M34_15D_Scene6.tif	IB	Right: IB	Image	Geometry	5154.3	3878.4	1129	343	0	5965	143	5822	100	903.07	6446890.6	19432.2
ECM_Exp2_M34_15D_Scene6.tif	MB	Right: MB	Image	Geometry	5618.9	2791.7	313	343	0	266	6	260	100	1378.3	188633.7	4001.2
ECM_Exp2_M34_15D_Scene6.tif	fiber tracts	Left: fiber tracts	Image	Geometry	8258.9	2920.8	1009	997	0	1642	389	1253	100	454.54	2756608.5	33559.6
ECM_Exp2_M34_15D_Scene6.tif	fiber tracts	Right: fiber tracts	Image	Geometry	4041.1	3048.2	1009	997	0	1347	45	1302	100	437.31	2977317	34902.8
