Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Parent ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
ECM_Exp2_M34_15D_Scene6.tif	CNU	Left: CNU	Image	Geometry	9012.8	4036.3	623	567	0	225	53	172	76.44	134.98	1274279.7	8505
ECM_Exp2_M34_15D_Scene6.tif	CTX	Left: CTX	Image	Geometry	8925.2	2749.9	688	567	0	7524	946	6578	87.43	557.33	11802646.5	32108.8
ECM_Exp2_M34_15D_Scene6.tif	IB	Left: IB	Image	Geometry	7250.9	3815	1129	343	0	1878	677	1201	63.95	193.44	6208561.2	19124.3
ECM_Exp2_M34_15D_Scene6.tif	MB	Left: MB	Image	Geometry	6642.2	2771.4	313	343	0	28	9	19	67.86	100.53	188998	3991.2
ECM_Exp2_M34_15D_Scene6.tif	CNU	Right: CNU	Image	Geometry	3458	4284.2	623	567	0	115	67	48	41.74	34.63	1385905.4	8971
ECM_Exp2_M34_15D_Scene6.tif	CTX	Right: CTX	Image	Geometry	3315.5	2871.4	688	567	0	1790	1065	725	40.5	57.4	12630489.7	33000.9
ECM_Exp2_M34_15D_Scene6.tif	IB	Right: IB	Image	Geometry	5154.3	3878.4	1129	343	0	471	344	127	26.96	19.7	6446890.6	19432.2
ECM_Exp2_M34_15D_Scene6.tif	MB	Right: MB	Image	Geometry	5618.9	2791.7	313	343	0	9	7	2	22.22	10.6	188633.7	4001.2
ECM_Exp2_M34_15D_Scene6.tif	fiber tracts	Left: fiber tracts	Image	Geometry	8258.9	2920.8	1009	997	0	1074	356	718	66.85	260.46	2756608.5	33559.6
ECM_Exp2_M34_15D_Scene6.tif	fiber tracts	Right: fiber tracts	Image	Geometry	4041.1	3048.2	1009	997	0	202	115	87	43.07	29.22	2977317	34902.8
