Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Parent ID	Side	Num Detections	Area µm^2	Perimeter µm
ECM_Exp2_M09_15D_Scene6.tif	CNU	Right: CNU	Image	Geometry	3484.2	4819.6	623	567	0	793	1373440.7	8808
ECM_Exp2_M09_15D_Scene6.tif	CTX	Right: CTX	Image	Geometry	3258	3525.7	688	567	0	5607	13149281.7	33530.2
ECM_Exp2_M09_15D_Scene6.tif	IB	Right: IB	Image	Geometry	5187.6	4295.3	1129	343	0	895	6402835.4	19416.4
ECM_Exp2_M09_15D_Scene6.tif	MB	Right: MB	Image	Geometry	5656.8	3239.1	313	343	0	63	208261.4	4155.8
ECM_Exp2_M09_15D_Scene6.tif	fiber tracts	Left: fiber tracts	Image	Geometry	8360.3	3214.9	1009	997	0	2935	2826669.8	33920.9
ECM_Exp2_M09_15D_Scene6.tif	fiber tracts	Right: fiber tracts	Image	Geometry	4033.9	3568.3	1009	997	0	1454	2942036.3	34290.4
ECM_Exp2_M09_15D_Scene6.tif	CNU	Left: CNU	Image	Geometry	9113.3	4281.5	623	567	0	685	1311434.3	8790.6
ECM_Exp2_M09_15D_Scene6.tif	CTX	Left: CTX	Image	Geometry	9097.1	3041.7	688	567	0	6209	12504772.7	33180.1
ECM_Exp2_M09_15D_Scene6.tif	IB	Left: IB	Image	Geometry	7359.1	4095.6	1129	343	0	3972	6309351.5	19434.4
ECM_Exp2_M09_15D_Scene6.tif	MB	Left: MB	Image	Geometry	6701.6	3149.4	313	343	0	60	209079.6	4127.6
